Ensembl Gene ID	GO Term Accession (bp)	Ensembl Protein ID
ENSG00000080824	GO:0034619	ENSP00000216281
ENSG00000080824	GO:0042026	ENSP00000216281
ENSG00000080824	GO:0045040	ENSP00000216281
ENSG00000080824	GO:0045429	ENSP00000216281
ENSG00000080824	GO:0046209	ENSP00000216281
ENSG00000080824	GO:0050999	ENSP00000216281
ENSG00000080824	GO:0006950	ENSP00000216281
ENSG00000080824	GO:0006457	ENSP00000216281
ENSG00000080824	GO:0005622	ENSP00000216281
ENSG00000080824	GO:0005737	ENSP00000216281
ENSG00000080824	GO:0005829	ENSP00000216281
ENSG00000080824	GO:0005886	ENSP00000216281
ENSG00000080824	GO:0042470	ENSP00000216281
ENSG00000080824	GO:0000166	ENSP00000216281
ENSG00000080824	GO:0005515	ENSP00000216281
ENSG00000080824	GO:0005524	ENSP00000216281
ENSG00000080824	GO:0030235	ENSP00000216281
ENSG00000080824	GO:0030911	ENSP00000216281
ENSG00000080824	GO:0042803	ENSP00000216281
ENSG00000080824	GO:0051082	ENSP00000216281
ENSG00000092201	GO:0006260	ENSP00000216297
ENSG00000092201	GO:0006281	ENSP00000216297
ENSG00000092201	GO:0006337	ENSP00000216297
ENSG00000092201	GO:0006350	ENSP00000216297
ENSG00000092201	GO:0006366	ENSP00000216297
ENSG00000092201	GO:0006368	ENSP00000216297
ENSG00000092201	GO:0010467	ENSP00000216297
ENSG00000092201	GO:0016032	ENSP00000216297
ENSG00000092201	GO:0045449	ENSP00000216297
ENSG00000092201	GO:0050434	ENSP00000216297
ENSG00000092201	GO:0009987	ENSP00000216297
ENSG00000092201	GO:0005634	ENSP00000216297
ENSG00000092201	GO:0005654	ENSP00000216297
ENSG00000092201	GO:0005694	ENSP00000216297
ENSG00000092201	GO:0005525	ENSP00000216297
ENSG00000092201	GO:0008159	ENSP00000216297
ENSG00000100567	GO:0000075	ENSP00000216455
ENSG00000100567	GO:0000082	ENSP00000216455
ENSG00000100567	GO:0000084	ENSP00000216455
ENSG00000100567	GO:0000216	ENSP00000216455
ENSG00000100567	GO:0000278	ENSP00000216455
ENSG00000100567	GO:0006511	ENSP00000216455
ENSG00000100567	GO:0006521	ENSP00000216455
ENSG00000100567	GO:0006915	ENSP00000216455
ENSG00000100567	GO:0006977	ENSP00000216455
ENSG00000100567	GO:0016032	ENSP00000216455
ENSG00000100567	GO:0016070	ENSP00000216455
ENSG00000100567	GO:0016071	ENSP00000216455
ENSG00000100567	GO:0031145	ENSP00000216455
ENSG00000100567	GO:0034641	ENSP00000216455
ENSG00000100567	GO:0042981	ENSP00000216455
ENSG00000100567	GO:0044419	ENSP00000216455
ENSG00000100567	GO:0051436	ENSP00000216455
ENSG00000100567	GO:0051437	ENSP00000216455
ENSG00000100567	GO:0051439	ENSP00000216455
ENSG00000100567	GO:0051603	ENSP00000216455
ENSG00000100567	GO:0000502	ENSP00000216455
ENSG00000100567	GO:0005634	ENSP00000216455
ENSG00000100567	GO:0005737	ENSP00000216455
ENSG00000100567	GO:0005839	ENSP00000216455
ENSG00000100567	GO:0019773	ENSP00000216455
ENSG00000100567	GO:0004298	ENSP00000216455
ENSG00000100567	GO:0005515	ENSP00000216455
