Ensembl Gene ID	GO Term Accession (bp)	Ensembl Protein ID
ENSG00000099995	GO:0005654	ENSP00000215793
ENSG00000099995	GO:0005681	ENSP00000215793
ENSG00000099995	GO:0005684	ENSP00000215793
ENSG00000099995	GO:0003723	ENSP00000215793
ENSG00000099995	GO:0005515	ENSP00000215793
ENSG00000100028	GO:0000387	ENSP00000215829
ENSG00000100028	GO:0000398	ENSP00000215829
ENSG00000100028	GO:0006350	ENSP00000215829
ENSG00000100028	GO:0006366	ENSP00000215829
ENSG00000100028	GO:0006369	ENSP00000215829
ENSG00000100028	GO:0006397	ENSP00000215829
ENSG00000100028	GO:0008334	ENSP00000215829
ENSG00000100028	GO:0008380	ENSP00000215829
ENSG00000100028	GO:0010467	ENSP00000215829
ENSG00000100028	GO:0016070	ENSP00000215829
ENSG00000100028	GO:0034660	ENSP00000215829
ENSG00000100028	GO:0005634	ENSP00000215829
ENSG00000100028	GO:0005654	ENSP00000215829
ENSG00000100028	GO:0005681	ENSP00000215829
ENSG00000100028	GO:0005683	ENSP00000215829
ENSG00000100028	GO:0005689	ENSP00000215829
ENSG00000100028	GO:0005737	ENSP00000215829
ENSG00000100028	GO:0005829	ENSP00000215829
ENSG00000100028	GO:0030532	ENSP00000215829
ENSG00000100028	GO:0005515	ENSP00000215829
ENSG00000100028	GO:0019899	ENSP00000215829
ENSG00000100028	GO:0071208	ENSP00000215829
ENSG00000100030	GO:0000165	ENSP00000215832
ENSG00000100030	GO:0000186	ENSP00000215832
ENSG00000100030	GO:0000187	ENSP00000215832
ENSG00000100030	GO:0000189	ENSP00000215832
ENSG00000100030	GO:0002224	ENSP00000215832
ENSG00000100030	GO:0002755	ENSP00000215832
ENSG00000100030	GO:0002756	ENSP00000215832
ENSG00000100030	GO:0006917	ENSP00000215832
ENSG00000100030	GO:0006935	ENSP00000215832
ENSG00000100030	GO:0006950	ENSP00000215832
ENSG00000100030	GO:0006974	ENSP00000215832
ENSG00000100030	GO:0007049	ENSP00000215832
